file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)
ALA-KLS1170-2892511.fastq.gz	FASTQ	DNA	1242013	100816143	25	81.2	123	50.0	80.0	123.0	0	108	8	96.45	91.77	25.02	56.06
ALA-KLS1205-3593357.fastq.gz	FASTQ	DNA	2149126	179813294	25	83.7	126	50.0	84.0	125.0	0	114	13	99.18	97.59	31.61	55.16
ALA-KLS1205-3593429.fastq.gz	FASTQ	DNA	1954660	165040747	25	84.4	124	51.0	88.0	124.0	0	117	8	99.35	98.11	32.45	55.08
ALA-KLS1363-3593317.fastq.gz	FASTQ	DNA	2081585	175991945	25	84.5	126	51.0	85.0	126.0	0	116	11	99.35	98.13	32.42	55.31
ALA-KLS1366-3593364.fastq.gz	FASTQ	DNA	2056204	173034793	25	84.2	126	50.0	85.0	126.0	0	117	10	99.21	97.65	31.72	55.58
ALA-KLS1366-3593436.fastq.gz	FASTQ	DNA	1924408	165317984	25	85.9	126	54.0	88.0	126.0	0	117	10	99.32	98.06	32.28	55.30
ALA-KLS1373-3593328.fastq.gz	FASTQ	DNA	2158359	182714129	25	84.7	126	52.0	86.0	126.0	0	115	12	99.27	97.91	32.02	55.79
ALA-KLS1387-3593387.fastq.gz	FASTQ	DNA	1992856	176882799	25	88.8	124	56.0	96.0	124.0	0	123	2	99.54	98.45	33.49	50.12
ALA-KLS1413-3593365.fastq.gz	FASTQ	DNA	2143659	177864764	25	83.0	126	50.0	82.0	126.0	0	112	15	99.24	97.91	31.93	56.58
ALA-KLS1413-3593437.fastq.gz	FASTQ	DNA	2116067	180594953	25	85.3	128	53.0	86.0	128.0	0	116	13	99.26	97.94	32.00	55.92
ALA-KLS1415-3593359.fastq.gz	FASTQ	DNA	2166624	179660523	25	82.9	124	50.0	83.0	124.0	0	112	13	99.35	98.15	32.45	55.48
ALA-KLS1415-3593431.fastq.gz	FASTQ	DNA	1919479	166165062	25	86.6	124	55.0	90.0	124.0	0	119	6	99.20	97.68	31.69	55.45
ALA-KLS1444-3593398.fastq.gz	FASTQ	DNA	2139066	170861063	25	79.9	125	46.0	78.0	124.0	0	109	17	99.19	97.64	31.64	56.54
ALA-KLS1448-3593341.fastq.gz	FASTQ	DNA	2152679	178909574	25	83.1	125	50.0	83.0	125.0	0	114	12	99.20	97.72	31.71	56.37
ALA-KLS1452-3593342.fastq.gz	FASTQ	DNA	2124189	179828143	25	84.7	128	51.0	85.0	128.0	0	116	13	99.24	97.84	31.89	56.18
ALA-KLS1453-3593336.fastq.gz	FASTQ	DNA	2058470	176037205	25	85.5	124	53.0	89.0	124.0	0	118	7	99.36	98.12	32.48	54.70
ALA-KLS1467-3593390.fastq.gz	FASTQ	DNA	2135732	180605330	25	84.6	124	52.0	87.0	124.0	0	117	8	99.27	97.87	32.02	55.19
ALA-KLS1474-3593384.fastq.gz	FASTQ	DNA	2157557	178739886	25	82.8	124	50.0	83.0	124.0	0	113	12	99.44	98.30	32.91	53.71
ALA-KLS1479-3593389.fastq.gz	FASTQ	DNA	2063380	172200073	25	83.5	125	50.0	84.0	125.0	0	114	12	99.31	98.08	32.26	55.86
ALA-KLS1492-3593391.fastq.gz	FASTQ	DNA	2037015	168843727	25	82.9	124	49.0	83.0	124.0	0	117	8	99.19	97.63	31.63	55.58
ALA-KLS1526-3593366.fastq.gz	FASTQ	DNA	2164463	177830496	25	82.2	124	49.0	82.0	124.0	0	112	13	99.31	98.01	32.22	55.36
ALA-KLS1526-3593438.fastq.gz	FASTQ	DNA	2103607	179762377	25	85.5	128	52.0	86.0	128.0	0	116	13	99.30	97.97	32.20	54.68
ALA-KLS1548-3593373.fastq.gz	FASTQ	DNA	2053521	170362828	25	83.0	126	49.0	82.0	126.0	0	113	14	99.33	98.06	32.32	54.66
ALA-KLS1548-3593445.fastq.gz	FASTQ	DNA	1974983	168581948	25	85.4	126	52.0	88.0	126.0	0	117	10	99.22	97.71	31.80	54.43
ALA-KLS1549-3593354.fastq.gz	FASTQ	DNA	2200165	185980399	25	84.5	128	50.0	84.0	128.0	0	117	12	99.43	98.24	32.85	53.64
ALA-KLS1549-3593426.fastq.gz	FASTQ	DNA	2048169	172566171	25	84.3	124	51.0	86.0	124.0	0	119	6	99.33	97.90	32.27	54.04
ALA-KLS1555-3593323.fastq.gz	FASTQ	DNA	2114772	187049493	25	88.4	127	56.0	91.0	127.0	0	122	6	99.31	97.97	32.25	53.96
ALA-MAGNT-R36654-2562269.fastq.gz	FASTQ	DNA	507585	35337448	25	69.6	123	36.0	60.0	107.0	0	96	20	96.76	92.16	25.37	54.24
ALA-MAGNT-R36654-2571090.fastq.gz	FASTQ	DNA	602376	39535293	25	65.6	123	34.0	54.0	95.0	0	87	29	96.51	91.88	25.08	55.36
ALA-MAGNT-R36654-2583996.fastq.gz	FASTQ	DNA	619286	43096644	25	69.6	123	35.0	60.0	107.0	0	95	21	96.42	91.67	24.98	56.50
ALA-NC_2019_217-2117818.fastq.gz	FASTQ	DNA	978368	55655857	25	56.9	68	44.0	68.0	68.0	0	68	1	97.29	94.13	28.63	54.83
ALA-NC_2019_247-2117816.fastq.gz	FASTQ	DNA	1032766	57624138	25	55.8	68	41.0	68.0	68.0	0	68	1	96.98	93.56	28.23	56.97
ALA-NC_Jan2019_208-2562133.fastq.gz	FASTQ	DNA	1259991	100640760	25	79.9	123	48.0	78.0	123.0	0	105	11	96.83	92.31	25.46	55.68
ALA-NC_Jan2019_213-2892489.fastq.gz	FASTQ	DNA	1342039	105546310	25	78.6	123	47.0	75.0	123.0	0	104	12	96.24	91.28	24.78	57.43
ALA-NC_Jan2019_213-2892584.fastq.gz	FASTQ	DNA	865614	76291392	25	88.1	123	58.0	92.0	123.0	0	123	1	96.71	92.02	25.31	52.23
ALA-NC_Jan2019_213-2894774.fastq.gz	FASTQ	DNA	1094239	91202178	25	83.3	123	53.0	84.0	123.0	0	110	6	96.44	91.60	25.00	53.54
ALA-NC_Jan2019_217-2892446.fastq.gz	FASTQ	DNA	1410476	117288125	25	83.2	123	52.0	84.0	123.0	0	110	6	96.72	92.13	25.32	54.97
ALA-NC_Jan2019_227-2892537.fastq.gz	FASTQ	DNA	1199213	96050836	25	80.1	123	49.0	77.0	123.0	0	106	10	96.70	92.19	25.30	56.62
ALA-NC_Jan2019_247-2892476.fastq.gz	FASTQ	DNA	1306541	104453559	25	79.9	123	48.0	77.0	123.0	0	107	9	96.27	91.41	24.81	56.71
ALA-NC_Jan2019_253-3446972.fastq.gz	FASTQ	DNA	1104225	75914608	25	68.7	124	39.0	60.0	97.0	0	88	37	96.14	90.24	24.64	55.76
ALA-NC_Jan2019_269-3446978.fastq.gz	FASTQ	DNA	1320520	88975296	25	67.4	125	39.0	60.0	91.0	0	83	43	96.49	90.88	25.01	57.28
ALA-NC_Jan2019_271-2892518.fastq.gz	FASTQ	DNA	1268003	102988241	25	81.2	123	49.0	79.0	123.0	0	111	5	96.20	91.21	24.74	56.76
ALA-NC_Jan2019_275-3446981.fastq.gz	FASTQ	DNA	1322968	94516335	25	71.4	126	41.0	65.0	100.0	0	90	37	96.58	90.94	25.11	56.51
