Genus,Species,id,Region,Locality,Country,Lat,Long,Pop,DART,Notes,Order no.,collection date,sex,latitude,lat (M),lat (DD),longitude,long (M),long (DD)
Aipysurus,laevis,VU131,Heywood Shoal,,Australia,,,,yes,,DNote20-5178,13/9/2018,M,,,-13.4666,,,124.0370333
Aipysurus,laevis,VU131,Heywood Shoal,,Australia,,,,,failed qc,DNote21-6332,13/9/2018,M,,,-13.4666,,,124.0370333
Aipysurus,laevis,VU131,Heywood Shoal,,Australia,,,,,,DNote22-7151,13/9/2018,M,,,-13.4666,,,124.0370333
Aipysurus,laevis,VU132,Heywood Shoal,,Australia,,,,yes,,DNote21-6332,13/9/2018,M,,,-13.4627,,,124.0349333
Hydrophis,stokesii,VU135,Heywood Shoal,,Australia,,,,yes,,DNote22-7151,14/9/2018,M,,,-13.4782,,,124.1045333
Hydrophis,stokesii,VU141,Heywood Shoal,,Australia,,,,yes,,DNote21-6332,14/9/2018,M,,,-13.435,,,124.0418
Hydrophis,stokesii,VU143,Heywood Shoal,,Australia,,,,yes,,DNote22-7151,14/9/2018,M,,,-13.45923333,,,124.0371833
Aipysurus,laevis,VU15,Dampier Peninsula,,Australia,,,,yes,,DNote22-7151,5/8/2018,M,,,-17.74055,,,122.1288833
Aipysurus,laevis,VU20,Dampier Peninsula,,Australia,,,,yes,,DNote22-7151,5/8/2018,F,,,-17.64753333,,,122.0456833
Aipysurus,laevis,VU21,Dampier Peninsula,,Australia,,,,yes,,DNote22-7151,5/8/2018,F,,,-17.64816667,,,122.0447167
Aipysurus,laevis,VU33,Dampier Peninsula,,Australia,,,,yes,,DNote22-7151,8/8/2018,F,,,-17.6636,,,121.2675333
Aipysurus,laevis,VU37,Dampier Peninsula,NE Lacepede Islands,Australia,,,,yes,,DNote22-7151,9/8/2018,F,,,-16.67605,,,121.7777167
Hydrophis,stokesii,VU38,Dampier Peninsula,,Australia,,,,yes,,DNote22-7151,9/8/2018,Juv,,,-16.67605,,,121.7777167
Hydrophis,major,VU46,Dampier Peninsula,Northwest of Lacepede Islands,Australia,,,,failed,low quality,DNote20-5178,10/8/2018,M,,,-16.65644167,,,121.7861833
Aipysurus,laevis,VU47,Dampier Peninsula,S Lacepede Islands,Australia,,,,yes,,DNote22-7151,11/8/2018,M,,,-17.03931667,,,122.0957833
Aipysurus,laevis,VU50,Dampier Peninsula,S Lacepede Islands,Australia,,,,yes,,DNote22-7151,13/8/2018,F,,,-17.01185833,,,122.0403
Aipysurus,laevis,VU51,Eighty Mile Beach,Pilbara,Australia,,,,yes,,DNote22-7151,15/8/2018,F,,,-19.77450833,,,119.62525
Aipysurus,laevis,VU53,Eighty Mile Beach,Pilbara,Australia,,,,yes,,DNote22-7151,15/8/2018,M,,,-19.77451667,,,119.6136583
Hydrophis,major,VU55,Eighty Mile Beach,Pilbara,Australia,,,,yes,,DNote20-5178,15/8/2018,M,,,-19.64631667,,,119.737695
Hydrophis,major,VU61,Eighty Mile Beach,Pilbara,Australia,,,,yes,,DNote20-5178,16/8/2018,F,,,-19.64340833,,,119.7983583
Aipysurus,laevis,VU62,Eighty Mile Beach,Pilbara,Australia,,,,yes,,DNote22-7151,16/8/2018,F,,,-19.37012833,,,119.7481083
Hydrophis,major,WAM R154978,Shark Bay,,Australia,,,,yes,,DNote21-6332,,,,,,,,
Hydrophis,major,WAM R154980,Shark Bay,,Australia,,,,yes,,DNote21-6332,,,,,,,,
Hydrophis,major,WAM R154981,Shark Bay,,Australia,,,,yes,,DNote21-6332,,,,,,,,
Hydrophis,major,WAMR154978,Shark Bay,,Australia,,,,yes,,DNote20-5178,,,,,,,,
